episode,deltaT,maxRadius,avgRadius,numUnknownSlots,coverage,numSamples
1,36.0,2.0,1.4616089971286303,24,1.0,76
2,36.0,1.7734879043068759,1.0466791027097595,24,1.0,109
3,31.922782277523766,1.4835298128074381,0.8308685112073572,24,1.0,127
4,26.703536630533886,1.3063717341973904,0.697286988993418,24,1.0,139
5,23.51469121555303,1.2279131966948127,0.6184993440381226,24,1.0,149
6,22.102437540506628,0.9708113833037076,0.5484110724988824,24,1.0,156
7,17.474604899466737,0.8464151336151503,0.49988033256638115,24,1.0,162
8,15.235472405072706,0.7889577747247637,0.4632446980709568,24,1.0,167
9,14.201239945045746,0.733173639979599,0.43329122645249035,24,1.0,172
10,13.197125519632781,0.6920455757409955,0.4083989955609832,24,1.0,176
11,12.456820363337918,0.6639618758317121,0.38823305726283336,24,1.0,179
12,11.951313764970816,0.6224868070828589,0.3690667210719702,24,1.0,183
13,11.204762527491459,0.597448759851874,0.3527822970342041,24,1.0,186
14,10.754077677333731,0.573298522769792,0.33880679211294273,24,1.0,188
15,10.319373409856256,0.5538428873015308,0.32678221475940294,24,1.0,191
16,9.969171971427553,0.5298267829990319,0.3140945855686292,24,1.0,193
17,9.536882093982573,0.5102559564187047,0.3036713295770079,24,1.0,195
18,9.184607215536685,0.4979796675490292,0.29485647215800825,24,1.0,197
19,8.963634015882526,0.4841785142303575,0.2860254412809807,24,1.0,199
20,8.715213256146436,0.4704273080510551,0.27812325876690586,24,1.0,201
21,8.467691544918992,0.45986957340521883,0.2713366780069231,24,1.0,203
22,8.277652321293939,0.4529119078847473,0.2650220034038515,24,1.0,204
23,8.152414341925452,0.443528699632598,0.258559945084814,24,1.0,206
24,7.983516593386764,0.42890264613142226,0.2524387121174399,24,1.0,207
25,7.7202476303656,0.41869634168471387,0.2471286011239865,24,1.0,209
26,7.53653415032485,0.41351050147535384,0.24201650056898663,24,1.0,210
27,7.443189026556369,0.4037227521228464,0.23710834535867498,24,1.0,211
28,7.267009538211235,0.39652788639881476,0.23265586331145485,24,1.0,213
29,7.137501955178665,0.3861674163126188,0.22788019290463932,24,1.0,214
30,6.951013493627139,0.37825103967783,0.22375325129805215,24,1.0,215
31,6.8085187142009405,0.3723797942506666,0.21984913393295655,24,1.0,216
32,6.7028362965119985,0.36580022670482204,0.2161130374924187,24,1.0,217
33,6.584404080686797,0.3586480504989918,0.21228012378374436,24,1.0,218
34,6.455664908981852,0.3559088394332068,0.2089356284914977,24,1.0,219
35,6.406359109797722,0.35019451190099465,0.20565986646517898,24,1.0,220
36,6.303501214217904,0.34354527285586806,0.20255081407066688,24,1.0,221
37,6.183814911405625,0.34234252911704005,0.19991553824322614,24,1.0,222
38,6.162165524106721,0.33728074977756684,0.19698709680817408,24,1.0,223
39,6.071053495996203,0.3335445285445301,0.19430961479431,24,1.0,224
40,6.003801513801542,0.32887798835715276,0.19150501005526757,24,1.0,225
41,5.91980379042875,0.3240768023878016,0.18896283770571431,24,1.0,226
42,5.8333824429804295,0.3185348612159591,0.18645450697387214,24,1.0,226
43,5.7336275018872636,0.3141895785014787,0.18403386015400044,24,1.0,227
44,5.655412413026617,0.3094462647876147,0.18176811187924047,24,1.0,228
45,5.570032766177065,0.30547673399767666,0.1795799037645023,24,1.0,229
46,5.49858121195818,0.30033866848036067,0.17746845129457853,24,1.0,229
47,5.406096032646492,0.2974862390179698,0.17547063741465732,24,1.0,230
48,5.3547523023234564,0.29471790730677044,0.1735708699947608,24,1.0,231
49,5.304922331521868,0.292029572585057,0.17168324586861547,24,1.0,232
50,5.256532306531026,0.2896518274724468,0.16972257916500433,24,1.0,232
51,5.213732894504042,0.28710580641977584,0.16791491291776348,24,1.0,233
52,5.167904515555965,0.2848516827244386,0.16616191139279837,24,1.0,234
53,5.127330289039895,0.2824357102706082,0.16453386881690965,24,1.0,234
54,5.0838427848709475,0.2790345522402173,0.1627285600408497,24,1.0,235
55,5.022621940323911,0.27515919548711393,0.16111548147758645,24,1.0,235
56,4.952865518768051,0.2718323457263651,0.15952551074947624,24,1.0,236
